Topic,Question,Organization,Answers,Source
ADDICTION,What's the difference between technology addiction and problematic use?,Common Sense,"Technology addiction and problematic use might look similar, but they are different. For one thing, currently doctors don't agree on a single definition of technology addiction. Also, when people are addicted, their brains and bodies won't let them stop using or engaging in something even when it hurts them. Problematic media use may cause difficulties, but limits can help.

Many kids use their phones or computers all the time. They mostly use technology to connect with friends, which is important to tweens and teens. But it can become problematic when it gets in the way of other important activities, such as school and family time.

If kids are having problems keeping up with schoolwork, chores, and activities, help them get back on track with some limits. If kids truly cannot control themselves -- they sneak their phones, feel bad about their behavior, lose friends, or stop other activities including schoolwork -- they may be showing signs similar to addiction. In either case, establishing and reinforcing a balanced approach to media may help. But you may want to talk to your pediatrician for more help. https://www.commonsensemedia.org/articles/whats-the-difference-between-technology-addiction-and-problematic-use",https://www.commonsensemedia.org/articles/whats-the-difference-between-technology-addiction-and-problematic-use
ADDICTION,Is Internet addiction real?,Common Sense,"Technology addiction and problematic use might look similar, but they are different. For one thing, currently doctors don't agree on a single definition of technology addiction. Also, when people are addicted, their brains and bodies won't let them stop using or engaging in something even when it hurts them. Problematic media use may cause difficulties, but limits can help.

Many kids use their phones or computers all the time. They mostly use technology to connect with friends, which is important to tweens and teens. But it can become problematic when it gets in the way of other important activities, such as school and family time.

If kids are having problems keeping up with schoolwork, chores, and activities, help them get back on track with some limits. If kids truly cannot control themselves -- they sneak their phones, feel bad about their behavior, lose friends, or stop other activities including schoolwork -- they may be showing signs similar to addiction. In either case, establishing and reinforcing a balanced approach to media may help. But you may want to talk to your pediatrician for more help. https://www.commonsensemedia.org/articles/whats-the-difference-between-technology-addiction-and-problematic-use",https://www.commonsensemedia.org/articles/is-internet-addiction-real
ADDICTION,How can I make sure my kid doesn't get addicted to technology?,Common Sense,"It's unlikely that your kid will become addicted to technology. A person with an addiction can't stop doing something that is extremely harmful, despite severe negative consequences. But you're right to be concerned. According to a Common Sense Media poll, 50 percent of teens say they ""feel"" addicted to their mobile devices, and 59 percent of parents ""feel"" their kids are addicted to them. Still, experts aren't sure whether true, physical technology addiction exists (although the American Psychiatric Association has identified ""Internet gaming disorder"" as ""a condition of interest""). And if it does, it's very rare. More likely, your kid may have problems balancing technology with other parts of their life.

Problematic technology use is a growing concern. You can help avoid it by showing your kids how you want them to use technology. Let them see your own healthy habits. Set rules for how much technology they can use during the week. Share what's important to you.

These ideas can help your family figure out how media and technology can be a part of your family's healthy lifestyle.

Create media free-zones and times. These will be different for every family, but you can consider making phones off-limits at the dinner table, before bed, and in the car, when important conversations can happen.

Limit multitasking. Multitasking makes it harder to focus on one thing and can be harmful to face-to-face conversations.

Do family activities. Take time for tech-free activities. A simple walk around the block or a game of hangman can bring you closer together.

Co-view and discuss. When you can, try to watch shows or play games with your kid. Kids whose parents take part in their media lives make better choices and spend less time with media.

Talk about the pressure to respond. Nearly three-quarters of teens feel pressure to respond to their mobile devices quickly. While friends and online socializing are super important to teens, not every text is critical. Discuss how they could break the habit, perhaps by responding once an hour to all messages instead of constantly being at the ready. https://www.commonsensemedia.org/articles/how-can-i-make-sure-my-kid-doesnt-get-addicted-to-technology",https://www.commonsensemedia.org/articles/how-can-i-make-sure-my-kid-doesnt-get-addicted-to-technology
YOUTUBE,What are YouTube unboxing videos?,Common Sense,"Unboxing videos are exactly what they sound like: People opening boxes and narrating their actions. Unboxing videos are very popular with kids, racking up millions of views and tens of millions of subscribers. Some unboxing videos, such as ones about toys and Kinder Surprise eggs are usually fine for kids to watch (with a few caveats). But the subject matter of some unboxing videos are not age-appropriate. If your kid likes these videos, be aware that they are not technically ""reviews"" of a product's pros and cons. Unboxing videos show the product in a favorable light and can have the same effect as advertising. Learn a little bit more about them and how to manage kids' fascination below.

Who is behind unboxing videos? All kinds of people -- including kids -- do unboxing videos. Kid hosts, such as the child star of Ryan Toys Review, often fall into it accidentally when their parents upload videos of them that become popular. Some YouTube channels that focus on unboxing don't even have an on-camera host. FunToys Collector Disney Toys Review is just a woman's hands opening toys and playing with them. Folks who specialize in unboxing are usually regular people, with no relationship to the companies whose products they feature.

What are the products in unboxing videos? Unboxing videos for kids typically focus on toys and candy, including Kinder Surprise eggs, Transformers, American Girl Dolls, and Legos.

Are unboxers paid by the companies whose products they open on YouTube? Companies don't usually pay the YouTuber directly for featuring their product in a video. When an unboxer becomes super popular (with tens of millions of views and subscribers), companies may send them products for free, but not always. Sometimes hosts disclose this, sometimes not. Companies do sponsor the extremely popular and influential YouTubers in other areas. For example, they may pay the YouTuber to make a personal appearance at a toy store or a toy convention.

What do I do if my kid wants all the stuff they see in unboxing videos? Unboxers are good at building excitement, choosing popular products, and showing off an item's cool features. Sometimes companies send them toys even before they go on sale to fuel demand before the product's release. And if the unboxer is a kid, your kid may relate to them more and want what they have. You may want to set expectations before a viewing session. Or you could have your kid add the product to their birthday or holiday wish list -- and prune when the time comes. If your kid likes unboxing videos, it's a good opportunity to balance that with developing their sense of gratitude by reading these books and watching these movies and TV shows.

How can I find ""good"" unboxing sites? There are tons of unboxing videos on YouTube. But the subscriber tally and the video views are not always good indicators of quality. Always read a channel's About section to get a sense of the creators behind the videos. When you find a channel you like, subscribe to it. That tells YouTube you want to see more like it. Here are some unboxing videos that we like.
https://www.commonsensemedia.org/articles/what-are-youtube-unboxing-videos",https://www.commonsensemedia.org/articles/what-are-youtube-unboxing-videos
YOUTUBE,"My kids love YouTube, especially watching unboxing videos and toy reviews. But sometimes it seems like it’s full of marketing. Is this OK?",AAP,"YouTube is a place where kids spend a lot of time, and marketers know this. They also know that kids mostly spend their own money on snacks/treats, beverages, toys and fast food. Therefore, they place branded food and beverage items – such as candy, fast food or soda – in YouTube videos, which reach billions of child viewers. Experiments have shown that only a small portion of preschoolers understood that the purpose of the ads they saw were to “sell you something”. Even if videos contain a “disclosure” that the material contains advertising, this doesn’t appear to change kids’ behavior. Additionally, when children see unhealthy foods in YouTube videos, they tend to prefer and eat more of those unhealthy foods, which could potentially affect their health and obesity risk.

What Parents Can Do
If your child loves YouTube, find content creators and YouTubers who are good role models, really try to tell a good story or teach something, rather than just showing excessive amounts of branded toys and foods. Viewing excessive marketing can make your child think of these purchases or foods as normal, everyday options, might make them beg for those unhealthy foods or overstuffed toy chests (marketers hope so!), or make it harder for you to establish healthy food preferences.
When you see an ad, see if your child can identify it and what the ad is trying to sell them. Help them understand that ads are created to persuade people to do things and buy things.
Try switching to platforms that have no ads or fewer ads, or at least YouTube channels with less marketing. For free video-playing apps with better-quality content, try switching to PBS KIDS Videos, Sensical or Noggin. You can see whether your child behaves any differently!
https://www.aap.org/en/work-in-progress/social-media-and-youth-mental-health-q-and-a-portal/early-childhood-questions/early-childhood-questions/children-and-youtube-marketing/
",https://www.aap.org/en/work-in-progress/social-media-and-youth-mental-health-q-and-a-portal/early-childhood-questions/early-childhood-questions/children-and-youtube-marketing/
YOUTUBE,"As a parent of young children, what do I need to know about YouTube? 
 ",AAP,"YouTube is a free video sharing website, and YouTube Kids is a version designed to have only videos intentionally made for children.  On average, there are 100 hours of video uploaded to YouTube every minute, so there’s an endless number of options. Videos include a wide variety of content from adorable cats, food recipes, science lessons, fashion tips, video games and much more.  

When children are on the main YouTube website or app, they are at risk of seeing inappropriate content. This is because they can search any term they want and the recommendation algorithm might recommend inappropriate videos, not knowing that they are a child. YouTube offers a supervised experience which is a parent-managed version of the regular YouTube experience for children. Parents can pair their YouTube/Google account to the child’s and select a content setting that limits what the child can watch.  Another options parents frequently use is creating a playlist of videos they want their child to watch, to avoid the child clicking on new recommended videos.  

If you do not feel comfortable having your child on YouTube, there is also YouTube Kids. YouTube Kids is a dedicated app with videos that are diverse but has a smaller selection of videos than what is available on the main YouTube app. It gives children a more contained environment and makes it easier to explore, but it still has a lot of “kid-influencer” videos that have been criticized for showing off too much, being rude or showing unhealthy food. 

If your child watches YouTube or YouTube Kids, be choosy about what videos and channels they watch. There are seemingly endless channels competing for your child’s attention, but many are not high-quality. Every family prefers different videos, but try to find channels where:  

The characters/YouTubers are positive and kind.  
They are not trying to sell your child anything or pressuring them to keep watching.  
There are not too many ads that block the screen or interrupt the video.  
You like watching along with your child (this is a good sign that the storyline is interesting or funny!).  
 Skip any kid-influencers who are showing off or being negative role models.   
 ",https://www.aap.org/en/work-in-progress/social-media-and-youth-mental-health-q-and-a-portal/early-childhood-questions/early-childhood-questions/info-about-youtube-for-parents-of-young-children/
YOUTUBE,Why does my teen like to watch people play games on YouTube?,Common Sense,"""At any one time, there are thousands of gamers broadcasting themselves playing games on the main YouTube channel as well as on YouTube Gaming. Gamers can live-stream themselves narrating their way through games, post videos of Let's Plays (recordings of them playing games), and much, much more. It may not make much sense to parents, but live-streaming and Let's Plays attract serious fans. Enthusiasts gather to watch, chat, pick up tips, and enjoy the game -- not unlike other spectator sports.

Even though it seems like a solitary activity, watching others play the games you love is a form of social interaction. The top players are celebrities in the gaming world, and they draw huge audiences. But while YouTube has age-appropriate games such as Minecraft and Mario Kart, it features tons of violent video games, including Call of Duty, Grand Theft Auto, Assassin's Creed, and more. And it's not just the games themselves that can be mature. The broadcasters and comments are totally unfiltered and frequently littered with hate speech, homophobia, sexism, and other derogatory talk. YouTube's Restricted Mode setting will block some of the edgy stuff, but not all.

If your teen likes to watch gamers on YouTube, it may be hard to restrict. You can try these tips for limiting YouTube content [[link to Q above]]. While lots of YouTube gamers are perfectly fine for kids, it's a good idea to check in and see who and what they're watching. You also want to help your kid manage their viewing time, as these videos can run upward of 30 minutes. Check the game reviews on Common Sense Media to find conversation-starter ideas for the games your teen likes. Here are some ideas to connect with teens over their interest in YouTube gamers.

Ask who their favorite players are and why. You might be surprised that your teen likes certain gamers because of the worldly wisdom they impart while they're playing. Just showing an interest in your teen's world helps strengthen your bond and gives you an in for conversation.

Talk about the games. Video games can be incredibly complex. The gamers who play the titles your teen likes reveal new and unique aspects of games that your kid didn't know about -- and which they can use when they play. Help them identify these takeaways -- they might lead to other interests or topics of discussion.

Counter negative messages. The video-gaming world can be very aggressive. There's swearing, sexist and racist comments, and more. Don't let your teen get away with adopting these attitudes. Keep reinforcing messages such as the importance of treating all people with respect.

Steer them toward the good stuff. Even ultra-violent video games have less violent alternatives. If your kid is getting into games that you think are too mature, help them find more appropriate ones to play.

Talk about different kinds of games. Discuss the differences between educational games, other games, and videos. Why is one type more beneficial? How can kids tell the difference between a site with games that offer some learning potential and games that are meant for adults?

Discuss good sportsmanship. Users can watch live feeds on the site and comment on what they're seeing. What kinds of things should kids never say when interacting with others online? https://www.commonsensemedia.org/articles/why-does-my-teen-like-to-watch-people-play-games-on-youtube""",https://www.commonsensemedia.org/articles/why-does-my-teen-like-to-watch-people-play-games-on-youtube
YOUTUBE,What are red-band trailers on YouTube?,Common Sense,"Red-band trailers are basically R-rated movie trailers. They're designed for mature audiences, and they contain more sex, violence, swear words, and emotionally charged scenes than the ""green band"" versions that are approved for all audiences. You can tell you're watching a red-band trailer because the MPAA warning appears in front of a red background. And if you're watching one, you're probably on YouTube. Red-band trailers are created for the web, not the theater.

Red-band trailers are, of course, advertising. All of the major movie studios have YouTube channels where they offer promotional material for their latest films, including celebrity interviews, behind-the-scenes footage, outtakes, and both the red- and green-band versions of trailers. Lots of YouTube creators upload red-band versions as well.

Red-band trailers are supposed to be behind an ""age gate"" -- meaning you have to confirm that you're 17 to watch it. But in practice, red-band trailers are freely accessible to anyone. You can try to cut down on your kids' exposure to red-band trailers by enabling YouTube's Restricted Mode and and other features. Since YouTube serves up content based on your viewing and search history, your kids may not encounter red-band trailers unless they go looking for them. If they do see them, check our movie reviews for ideas on how to discuss movies' more mature themes.",https://www.commonsensemedia.org/articles/what-are-red-band-trailers-on-youtube
YOUTUBE,Is it safe for my kid to watch Minecraft videos on YouTube?,Common Sense,"Since Minecraft is a game that appeals to many ages -- and has infinite possibilities -- not all YouTube videos will be age-appropriate. The unique features of the game, including the ability for any player to create anything they want, can result in wide variations in quality, age-appropriateness, and relevance to your kid's specific interests and gaming ability. If your kid is just starting out, it's a good idea to sit with them and help them find quality videos that teach Minecraft basics. After they get some familiarity with the better Minecraft channels, you can loosen the reins. But check in, too, because a lot of Minecraft YouTubers also play more mature games (and even mature versions of Minecraft).

There are hundreds of channels devoted to Minecraft, including popular but edgy ones such as Yogscast and SkyDoesMinecraft, and it's hard to know which ones are good for kids. Although you could download an app such as Enderflix Kids, which curates only kid-friendly Minecraft videos, you know your little fanatic will be begging -- and searching YouTube -- for more. Our curated list of kid-friendly Minecraft videos on YouTube is an excellent starting point for young players.

On YouTube, even kid-friendly videos come with a few caveats. First, with many clocking in at 20 or 30 minutes, they can be a major time suck. Second, many have commercials that advertise products ranging from cars to cookies to vodka. Third, some videos contain salty language, so it's best to preview videos when possible. Learn more about the world of Minecraft and how to engage with your kid around the game. https://www.commonsensemedia.org/articles/is-it-safe-for-my-kid-to-watch-minecraft-videos-on-youtube",https://www.commonsensemedia.org/articles/is-it-safe-for-my-kid-to-watch-minecraft-videos-on-youtube
YOUTUBE,How kid-friendly is the YouTube Kids app?,Common Sense,"The YouTube Kids app is definitely more kid-friendly than YouTube itself, but you may not want to totally let your kids loose on it at first. While the company is using more human monitors to review and curate videos, the app is still technically a portal to the main YouTube service and age-inappropriate videos can make it through the app's algorithm. YouTube Kids also runs ads, which has drawn criticism from consumer watchdog groups.

On the plus side, the YouTube Kids app is pretty simple, which reduces risks for kids. It has no interactive features (such as the ability to chat or post videos from the app), so kids can't have contact with other people. And it offers a few useful parental controls: You can turn off search, which limits kids' exposure to age-inappropriate content; you can set a time limit for kids to play on the app; and you can block videos, which helps the app know what types of videos you prefer to see. To be fair, YouTube Kids explains that there's potential for age-inappropriate content to slip through. It also recommends parents actively manage search settings to lessen any risks.

The safest way to let your kids use YouTube Kids is to supervise, watch together, and encourage kids to tell you if they see something weird, so you can take care of it. You can also try these other online streaming video services for kids. https://www.commonsensemedia.org/articles/how-kid-friendly-is-the-youtube-kids-app",https://www.commonsensemedia.org/articles/how-kid-friendly-is-the-youtube-kids-app
YOUTUBE,What's the deal with disturbing YouTube videos that look like they're for kids but are strange and upsetting?,Common Sense,"Your kid has settled in to watch what looks like a nice Peppa Pig video. The title of the video looked age-appropriate and your kid instantly recognized the familiar characters. But after a few minutes of normal play, the story goes horribly wrong. The characters start cursing, bleeding violently, or engaging in other disturbing acts. What's up with these strange videos that look like they're for kids but definitely are not? And why does YouTube show them to you?

Weird videos using familiar kids' TV characters are a thing on YouTube. They belong to a category of video called YouTube Poop (YTP). YTP is a mashup of familiar characters, images, and stories that go off the rails. People create them using video-editing software that lets them splice in clips from real shows. Though these videos deceive and scare people, that's not necessarily the creators' intention. More likely, they're trying to impress other fans of YTP (yes, they exist), mock kids' entertainment, and provoke YouTube by exposing weaknesses in the way the company serves up video content. The very fact that you clicked on the video sends data to YouTube that you like the video and want to see more in the same vein.

YouTube's algorithm came under fire when there was a public outcry over these disturbing videos showing up in the YouTube Kids app. In response, Google tightened up the restrictions on the videos it funnels to the YouTube Kids app. It also started requiring creators to designate their videos ""for kids,"" so theoretically the weird ones intended for teens and older fans wouldn't display in your kid's feed. But while YouTube has some ways of verifying whether videos are really ""for kids,"" the designation is the discretion of the creator, who may be willing to risk Google's consequences (such as suspension from the platform) to trick people. Google wants YouTube to remain a platform where users can express their creativity, and even though these videos are disturbing, they don't always violate YouTube's terms of service.

To reduce the risk of your kids seeing these disturbing videos, there are a few things you can do. In addition to using only the YouTube Kids app, you can use Restricted Mode, and remember to flag inappropriate videos, so YouTube won't show them to you. https://www.commonsensemedia.org/articles/whats-the-deal-with-disturbing-youtube-videos-that-look-like-theyre-for-kids-but-are-strange-and-upsetting",https://www.commonsensemedia.org/articles/whats-the-deal-with-disturbing-youtube-videos-that-look-like-theyre-for-kids-but-are-strange-and-upsetting
YOUTUBE,Why is my kid obsessed with YouTube stars?,Common Sense,"Now that YouTube has overtaken TV for teens -- and is heading that way for younger kids -- its stars have become celebrities to young fans. Most of us parents don't tend to tune into YouTube just to hang out and watch whatever comes on -- which is one way kids find out about these folks. So we find it hard to understand why people who broadcast using a webcam and an internet connection have such a powerful hold over our kids. But it's smart to have some awareness of your kids' media idols, perhaps especially on YouTube. Why? YouTube celebs are even more influential than traditional celebrities in shaping trends, guiding pop culture, and impacting opinions.

While plenty of YouTubers experience accidental fame, the ones that gain mega-popularity (such as Jenna Marbles with 17 million subscribers) work pretty hard at it. Good YouTubers are savvy about video creation and editing, know how to respond to what their viewers want, and excel at self-promotion on all social media, such as Instagram and Snapchat. They're also fast. Hosts can upload videos quickly because they don't have the same kind of production overhead of TV. This speed allows them to comment on news, pop culture, current events, and even video themselves on vacation or at the dentist's office. You may not see the appeal, but kids are all about being in the moment. Finally, many offer some type of expertise that kids are interested in. The insider tips on decorating, makeup, and fashion offered by British lifestyle guru Zoella has earned her 12 million subscribers. (Her delicate features and beautiful blue eyes don't hurt either.)

But as compelling as some YouTubers are to your kids, plenty aren't age-appropriate. For example, the Swedish gamer PewDiePie was discovered to have created racists and anti-Semitic videos (which caused YouTube to cancel a reality show he was set to star in). A lot of YouTubers take advantage of the platform's freewheeling nature to swear and make sexist, homophobic, and other offensive remarks. Even wholesome-seeming hosts go blue once in a while.

Here's the tough part for parents: The rebellious nature of some YouTubers often makes kids like them more. YouTube's unscripted, anything-goes quality is super appealing to kids. Maybe kids need a break from the world of school, rules, and chores. Maybe they're looking for others who validate their own thoughts and feelings, and these hosts can serve that purpose.

And while there are YouTube rebels, such as Jake Paul who pulls pranks and conducts general mayhem, there are also hosts who may use swear words or other negative imagery to express authentic feelings and emotions. The difference is important because at first glance you might lump them all together. Kids become attached to YouTube hosts in part because of their honesty and relatability. There's an intimacy that some YouTube hosts develop with their followers that isn't available on traditional media such as TV.

It's completely age-appropriate for kids to become devoted to certain media figures. But you want to help your kids find positive role models and other folks who use their platform for good. Being aware that, to your kids, these YouTubers have something meaningful to offer -- even if you don't particularly care for them -- is step one. Stay involved by watching together when you can. Ask questions about the hosts your kids like, what subjects they cover, and most important, what these topics mean to your kids. You may need to hold your nose or bite your tongue, but having an open mind will go a long way in your relationship with your kid. Plus, you can inject your own messages into the conversation to get your ideas across. https://www.commonsensemedia.org/articles/why-is-my-kid-obsessed-with-youtube-stars

",https://www.commonsensemedia.org/articles/why-is-my-kid-obsessed-with-youtube-stars
YOUTUBE,How do I set parental controls in the YouTube Kids app?,Common Sense,"YouTube Kids offers a few basic parental controls to limit kids' exposure to age-inappropriate content. The management features are in the parent settings section of the app, which is accessible from any screen and is passcode protected. Learn more about the YouTube Kids app and get an overview of the parental controls in the YouTube Kids app below.

Kid profiles. YouTube Kids lets you create unique profiles for each of your kids. Adding your kid's age to their profile helps YouTube Kids show videos that are most appropriate to them.

Search. For each user profile, you can choose whether to allow the ability to search the app or not (so you can allow your 8-year-old to search but not your 4-year-old, for example). Turning off the ability to search limits videos to only the ones that have been verified as age-appropriate by people on the YouTube Kids team.

Custom passcodes. The parent settings are passcode protected. You can create a custom passcode that only you know, which is a good idea. Otherwise, you'll get a randomly generated passcode every time you want to log in. The randomly generated one is spelled out, but if your kids can read they can get in.

Collections. For each kid profile, you can select curated channels on a variety of subjects provided by YouTube's content partners such as PBS Kids and Sesame Workshop.

Block videos. You can block any video you don't want your kids to see (and YouTube will use this information to prevent similar videos from being shown).

Timer. You can set a timer for up to one hour, so kids have to stop when their time is up. https://www.commonsensemedia.org/articles/how-do-i-set-parental-controls-in-the-youtube-kids-app",https://www.commonsensemedia.org/articles/how-do-i-set-parental-controls-in-the-youtube-kids-app
YOUTUBE,What do I need to know about YouTube?,Common Sense,"You've heard of YouTube rabbit holes, right? That's when you go on YouTube to watch a Saturday Night Live clip and emerge later to find that your kid is married with three kids. And if you can't resist YouTube's siren call, our latest research confirms that kids are powerless against it. In fact, kids would rather watch online videos than do almost anything else—which is a teensy bit scary considering YouTube celebs have more influence on kids than movie stars. But, trust us: We've been down a few rabbit holes ourselves. We'll point you toward the good stuff, teach you how to use YouTube's settings and features, explain what influencers, unboxing videos, and challenges mean to your kid, and help your family get the best out of this complex entertainment and educational platform.

Quick Take
YouTube is an important way kids learn about the world. It's a one-stop shop for information about everything kids want to know about. It's also a big source of news, which for kids includes internet culture, memes, and online trends.
YouTube is really influential. Kids can learn anything from algebra to the latest dance craze. But they can also pick up misinformation, extreme viewpoints, age-inappropriate concepts, and risky ideas (see: the Tide Pod Challenge).
You can't control YouTube, but you can manage it (and you should). YouTube offers a few features, including subscriptions, the ability to disable autoplay, and Restricted Mode, that can help you reduce your kid's exposure to mature content.
What does the research say about YouTube—and what does it mean for my family?
YouTube embodies the open-web philosophy of its game-changing parent company, Google, which is all about providing a platform for whatever anybody wants to create and share. That's cool and all, but the anything-goes concept, combined with content selected by algorithm vs. human beings, means your kid will definitely come into contact with inappropriate videos. Recent research sheds some light on where kids are going on YouTube and what they love about it. Here are four key findings, plus our takeaways to help manage kids' experience.

It's where a lot of kids get their news. Our research report, News and America's Kids: How Young People Perceive and Are Impacted by the News, found that for kids who go to social media for current events, 41% of tweens and 47% of teens like YouTube the best.
Takeaway: On one hand, it's great that kids want to be informed; on the other, YouTube isn't the most accurate source for news.
Kids love it. According to our latest census, watching online videos is now tweens' favorite media activity. (Four years ago, it ranked fifth in enjoyment.) Today, the percent of 8- to 12-year-olds who say they watch online videos every day is more than double what it was in 2015.
Takeaway: You can't underestimate the role of YouTube's algorithm, which is optimized to hold users' attention for as long as possible.
Inappropriate content is common. A 2018 YouTube study by the Pew Research Center found that 61% of parents who let their kids 11 and younger watch YouTube have encountered inappropriate content.
Takeaway: Keep an eye on what kids are watching and steer them toward the good stuff.
It has a big impact on kids. Feeling in the know and being a part of a community is a powerful combination for kids. It's these feelings that stir kids' support of YouTubers like PewDiePie (the Swedish gamer whose anti-Semitic rants netted him even more followers) more than famous Hollywood stars.
Takeaway: When you talk to your kid about YouTube, you'll get further if you acknowledge its value in your kid's life.
Is it possible to find good stuff—and keep my kid from straying—on YouTube?
Big yes to the first question. Thumbs way down on the second. Although kids find out about new channels and YouTubers from friends, the algorithm that recommends videos related to the main video is a key way kids navigate the platform and discover new content. But these videos can be problematic. While related videos are connected to the original, they may be longer, more mature, or otherwise inappropriate. (You can thank YouTube's business model for that: The longer users watch, the more YouTube makes in ad sales.) To limit these risks, log in to your account and:

Disable autoplay. Either in the app or on your browser, go to the Up Next section and toggle off Autoplay. In this mode, nothing plays until you make a new selection.

Manage the History. Go to History in the Library section. You can turn off and clear the Watch history and Search history. This erases all the previous data Google was tracking to identify related videos and lets your kid start fresh. You can also delete individual videos from the History when you don't want Google to use them  for related videos.

Use Restricted Mode. Click or tap on your profile pic to get to your account settings. In the browser version, Restricted Mode appears at the bottom of the drop-down menu. In the app, tap Settings to get to the screen where you can toggle it on. Restricted Mode cuts down on inappropriate videos but won't eliminate them completely.

Subscribe to specific channels. When you subscribe, you'll see these channels in the feed, and it also helps YouTube's algorithm decide what else to show.

Don't use YouTube. Believe it or not, YouTube isn't the only place for kids to watch cool videos. Try one of the YouTube alternatives from the list below.

Are there any parental controls on YouTube?
YouTube is technically for teens 13 and up, so the controls it offers are geared for users to set for themselves, not for parents to set for kids. On the YouTube app, you'll find settings that remind you to take a break, restrict your viewing time, and stop notifications. If you want parental controls that you can lock down, you have to use the YouTube Kids app, which lets you set time limits, turn off search, and curate your kid's feed.

In January 2020, YouTube made some changes to the platform in response to its violations of the Children's Online Privacy Protection Act (COPPA). The changes require creators to designate whether their content is for kids, which should help the algorithm serve up more kid-friendly videos in the Up Next section. The changes also mean that you can no longer add kids' videos to a playlist or make comments on them, which distinguishes them from content meant for viewers over 13. A big white space where the comments used to be sure makes kids' videos more age-appropriate. However, we liked the playlist feature for its ability to help parents curate content just for young viewers. YouTube's actions are probably the tip of the iceberg. As the Federal Trade Commission continues to crack down on online companies playing fast and loose with consumer privacy laws (especially those that protect kids), and as more platforms come into compliance with stricter rules, such as those being enacted in California, you'll probably see more platforms disable or change features.

Remember, your device offers some ways to limit time on YouTube and other apps. On iPhones, go to Settings/Screen Time/App Limits/Add Limit; find the YouTube app and set a daily amount. On Android phones, use the Family Link app to set your kid's daily viewing allowance. Both operating systems also offer some content-restriction tools, which may not work perfectly but are a good idea.

What's the best way to keep tabs on my kids' YouTube-watching?
You can check their Search history and Watch history, but they'll probably open up more if you simply ask. YouTube has such a huge range of content, and there's lots of questionable stuff, but most kids are just looking to laugh or learn something. If you're lucky and your kid wants to tell you about their favorite videos, introduce you to YouTube personalities they like, or show you some cool channels they've found, just be prepared for anything. What kids like to watch on YouTube can be highly specific to their tastes—and not yours.

Then again, because YouTube is an important way kids learn about the world, many use it to search for and view videos of things they're curious about—and they may not be ready to share with their parents. This is developmentally appropriate, but you do want to make sure that your kid isn't watching inappropriate content or learning inaccurate information. It's tricky, but if kids don't want to share with you, get the names of the channels they're watching and look at them later. Watch a few videos by the same creator to get a feel for the content. Here are some ideas to get your kid to open up about what they're watching:

Ask who their favorite YouTubers are and why. You might be surprised that your kid likes certain folks, like Emma Chamberlain, as much for their humor as their intelligence.

If your kid's a gamer, ask who they like to watch play. Though watching people play video games on YouTube may seem weird, for some kids it's like any spectator sport. The gamers who play the titles your kid likes reveal new and unique aspects of games that your kid didn't know about—and that they can use when they play.

Counter negative messages. Whether it's in the comments, the subject matter of a video, or ideas expressed by YouTubers, kids will likely encounter swearing, sexist and racist comments, and more. Keep reinforcing messages such as the importance of treating all people with respect. If your kid seems influenced by extreme viewpoints—and it seems more than a phase—it's worth exploring with them in a curious and nonjudgmental way.

Steer them toward the good stuff. If your kid is getting into stuff you think is too mature, help them find more appropriate videos to watch. Read our YouTube channel reviews and check our ""Best of"" lists for ideas.

Share your faves. Show them videos you like—for example, music from your high school years, TV shows you watched growing up, and historic events that have significance. Watching your videos may loosen up your kid to share more of theirs.

One more thing!
Many kids go through a phase of imitating YouTube. Even preschool-age kids will pretend they're hosting their own videos. It's normal. Ask them to put on a show for you. Now, if your kid wants to create their own YouTube channel for real, you can try to help your kid do it as safely as possible. Also on that page: alternatives to YouTube (good luck with that, though…).

To learn more about what kids are seeing on YouTube and how the rise of online video has impacted kids' screen time, check out the 2020 Common Sense Census: Media Use by Kids Zero to Eight. https://www.commonsensemedia.org/articles/what-do-i-need-to-know-about-youtube",https://www.commonsensemedia.org/articles/what-do-i-need-to-know-about-youtube
